ID,freq,var_freq,ave_str,var_str,step_energy,var_mean_ratio,peakindex,mean_xocrr,timew,type,
1,1.285244e+00,4.524225e+00,1.186673e+00,5.263932e-05,8.462789e-04,4.930661e-05,2.976455e-09,2.777471e-01,1.703410e-07,0,
2,1.276319e+00,2.481173e+00,1.149194e+00,5.550352e-05,1.116771e-03,5.044901e-05,1.528524e-09,2.507065e-01,1.064540e-07,0,
3,7.331822e-01,3.022368e+02,8.511463e-01,1.111245e-04,1.536703e-03,5.407581e-05,1.453822e-08,3.016407e-01,1.304041e-07,1,
4,6.567656e-01,5.273846e+02,1.138249e+00,6.744000e-05,1.439927e-03,5.426029e-05,-1.672595e-09,2.453941e-01,9.205984e-08,1,
5,1.289121e+00,6.237951e+00,1.156034e+00,5.121555e-05,1.044057e-03,5.073624e-05,-3.057686e-09,3.818260e-01,2.149940e-07,0,
6,1.306598e+00,4.383193e+00,1.211084e+00,3.698411e-05,1.215427e-03,5.302845e-05,-3.040850e-09,2.788849e-01,1.938212e-07,0,
7,1.262001e+00,1.236361e+01,1.422812e+00,8.685276e-05,1.262619e-03,5.634698e-05,-3.834570e-08,2.890506e-01,1.484505e-07,0,
8,1.257578e+00,3.321847e+01,1.163211e+00,4.095852e-05,1.004519e-03,5.316218e-05,4.218185e-08,3.536263e-01,1.976759e-07,0,
9,1.099130e+00,3.838382e+01,8.892573e-01,6.462070e-05,1.485202e-03,5.941026e-05,2.326677e-08,2.860010e-01,2.224428e-07,1,
10,7.163605e-01,1.512727e+03,1.244960e+00,1.000444e-04,9.888161e-04,5.508604e-05,4.760101e-08,3.676578e-01,1.379960e-07,1,
11,8.987946e-01,9.412321e+01,8.623101e-01,6.147762e-05,1.596955e-03,5.644666e-05,7.936652e-09,2.525609e-01,1.060699e-07,1,
12,1.087807e+00,5.360362e+01,7.661294e-01,1.015309e-04,1.010824e-03,5.197344e-05,2.612274e-08,2.526489e-01,1.228515e-07,1,
13,7.741485e-01,4.554804e+02,1.659947e+00,4.909386e-05,1.597560e-03,6.194931e-05,-8.688880e-10,2.410565e-01,9.572436e-08,1,
14,1.098147e+00,1.558665e+01,7.661294e-01,8.161237e-05,1.038411e-03,5.073907e-05,4.194004e-08,2.633503e-01,1.587982e-07,1,
15,1.200607e+00,2.487289e-01,1.061463e+00,5.480452e-05,1.077451e-03,5.397369e-05,-1.225318e-08,2.767281e-01,1.554173e-07,0,
16,1.198669e+00,8.511738e+00,1.185676e+00,5.765920e-05,1.225631e-03,5.370962e-05,-2.586620e-08,2.534237e-01,1.311398e-07,0,
17,1.179309e+00,1.049367e+01,1.264721e+00,7.152586e-05,1.140197e-03,5.201131e-05,1.726521e-08,3.042817e-01,1.629628e-07,0,
18,1.203700e+00,1.113960e+00,1.511737e+00,1.025997e-04,1.092810e-03,5.258618e-05,-6.946682e-09,2.967018e-01,1.166596e-07,0,
19,1.238063e+00,1.233504e+01,1.185676e+00,2.443728e-05,1.020103e-03,5.313417e-05,3.846023e-09,2.826447e-01,1.545124e-07,0,
